exchange,market,best bid (USD),bid depth (XLM), best ask (USD),ask depth (XLM), market price (USD),total depth (XLM)
bitfinex,XLM/USD,0.084689,6377.71492154,0.085,40000.0,0.08495723227537291,46377.71492154
bitfinex2,XLM/USD,0.084689,6377.71492154,0.085,40000,0.08495723227537291,46377.71492154
cex,XLM/USD,0.0845,33000.0,0.0849,33000.0,0.08470000000000001,66000.0
exmo,XLM/USD,0.085369,50.0,0.0858,47.65776238,0.08557933141744384,97.65776238000001
kraken,XLM/USD,0.082706,7964.303,0.082916,450.0,0.0827172308767583,8414.303
lykke,XLM/USD,0.08237768,5000.0,0.08328032,5000.0,0.082829,10000.0
okcoinusd,XLM/USD,0.081,3783.746,0.0829,26778.296,0.08266476972971898,30562.041999999998
