exchange,market,best bid (USD),bid depth (EOS), best ask (USD),ask depth (EOS), market price (USD),total depth (EOS)
bitfinex,EOS/USD,3.3783,570.3233,3.3784,2513.00313779,3.378381502986742,3083.32643779
bitfinex2,EOS/USD,3.3783,570.3233,3.378310036016,113.00313779000001,3.3783016596771858,683.32643779
dsx,EOS/USD,3.3401,12.9,3.729,96.4,3.68310054894785,109.30000000000001
exmo,EOS/USD,3.382,518.10830869,3.43097579,59.3586,3.387034287306417,577.46690869
kraken,EOS/USD,3.298,6.92,3.3113,640.458,3.3111578326727202,647.3779999999999
livecoin,EOS/USD,3.3865,0.06011014,3.75803,0.73092938,3.7297978829570995,0.79103952
lykke,EOS/USD,3.2847,500.0,3.3243,500.0,3.3045,1000.0
okex,EOS/USD,3.29,56.0,3.293,617.0,3.2927503714710253,673.0
yobit,EOS/USD,3.51800173,4.17911581,3.6662478,2.6470815,3.575488997291532,6.8261973099999995
