exchange,market,best bid (USD),bid depth (NEO), best ask (USD),ask depth (NEO), market price (USD),total depth (NEO)
bitfinex,NEO/USD,8.5167,12.67657708,8.5214,70.01646089,8.52067950509815,82.69303797
bitfinex2,NEO/USD,8.5167,12.67657708,8.5194,53.0385665,8.5188791648279,65.71514358
exmo,NEO/USD,8.5418223,0.13033271,8.67354987,1.83204831,8.664801104594689,1.96238102
liquid,NEO/USD,6.501,3.0636,11.0,2.05568622,8.307605824782346,5.11928622
livecoin,NEO/USD,8.23536,0.33646282,8.31972,37.70114779,8.318973791102017,38.03761061
lykke,NEO/USD,3.4107,3.0,15.0,1.0,6.308025,4.0
qryptos,NEO/USD,6.501,3.0636,11.0,2.05568622,8.307605824782346,5.11928622
quoinex,NEO/USD,6.501,3.0636,11.0,2.05568622,8.307605824782346,5.11928622
