exchange,market,best bid (USD),bid depth (WAVES), best ask (USD),ask depth (WAVES), market price (USD),total depth (WAVES)
exmo,WAVES/USD,2.65000005,13.35183508,2.66201043,2.68582262,2.652011425406697,16.0376577
yobit,WAVES/USD,2.81,0.32744607,2.8199965,14.05074871,2.8197688417516007,14.378194780000001
