exchange,market,best bid (USD),bid depth (DOGE), best ask (USD),ask depth (DOGE), market price (USD),total depth (DOGE)
ccex,DOGE/USD,0.00211112,114.59562223,0.00345,1000.0,0.00331234488667349,1114.5956222300001
exmo,DOGE/USD,0.00198695,1153.0,0.00199997,514.83380517,0.0019909690672011413,1667.83380517
livecoin,DOGE/USD,0.00196001,64708.1561341,0.00198824,7385.8438659,0.0019629020904976054,72094.0
southxchange,DOGE/USD,0.0019,0.23581674,0.0021,9586.54340913,0.002099995080376121,9586.77922587
yobit,DOGE/USD,0.00206086,2727.15499778,0.00208661,4881.89552693,0.002077380958746458,7609.050524710001
