exchange,market,best bid (USD),bid depth (XEM), best ask (USD),ask depth (XEM), market price (USD),total depth (XEM)
exmo,XEM/USD,0.042,475.0,0.04228922,28.85269634,0.042016561937439405,503.85269634
livecoin,XEM/USD,0.04057,70.84456679,0.04158,1116.87225519,0.04151975583141222,1187.71682198
rightbtc,XEM/USD,0.0395601,548.75,0.0429001,1119.82,0.04180165941914333,1668.57
yobit,XEM/USD,0.045,286.36074006,0.04789792,494.47374858,0.04683514609860631,780.83448864
