exchange,market,best bid (USD),bid depth (MKR), best ask (USD),ask depth (MKR), market price (USD),total depth (MKR)
bitfinex,MKR/USD,646.66,1.5414067,674.85,0.12107,648.7129390276567,1.6624767
bitfinex2,MKR/USD,646.67,0.13111588,674.85,0.12107,660.1987217507974,0.25218588
ethfinex,MKR/USD,646.66,1.6960417,674.67,0.12109,648.526530037421,1.8171317
yobit,MKR/USD,610.83556834,0.01323601,759.94577348,0.01867983,698.1073833158968,0.03191584
