exchange,market,best bid (USD),bid depth (XTZ), best ask (USD),ask depth (XTZ), market price (USD),total depth (XTZ)
bitfinex,XTZ/USD,0.40501,970.94761359,0.4128,1202.27699387,0.4093196041477249,2173.22460746
bitfinex2,XTZ/USD,0.40501,970.94761359,0.41279,2872.89939874,0.4108247884789641,3843.84701233
gatecoin,XTZ/USD,0.4,9913.096225,1.4,500.0,0.44801645823646463,10413.096225
kraken,XTZ/USD,0.3964,2288.768,0.3996,2875.101,0.39818167246303104,5163.869000000001
